product_id,product_name,category_id,brand_id,supplier_id,warehouse_id,sku,unit_price,cost_price,stock_quantity,reorder_level,weight_kg,is_active
PROD000038,Dining Chair,CAT003,BR009,SUP006,WH003,HOM-00038,1192.57,804.31,62,11,38.56,True
PROD000039,Python Programming,CAT004,BR010,SUP007,WH003,PEN-00039,42.31,24.28,344,33,1.76,True
PROD000040,Data Engineering Guide,CAT004,BR010,SUP007,WH003,PEN-00040,50.65,21.94,852,77,0.22,True
PROD000041,Machine Learning Basics,CAT004,BR010,SUP007,WH003,PEN-00041,61.7,25.34,519,60,0.65,True
PROD000042,Cloud Computing,CAT004,BR011,SUP007,WH004,HAR-00042,52.01,29.08,757,89,1.73,True
PROD000043,Modern SQL,CAT004,BR011,SUP007,WH004,HAR-00043,37.06,15.2,266,64,0.56,True
PROD000044,Distributed Systems,CAT004,BR011,SUP007,WH004,HAR-00044,45.91,21.8,139,94,1.27,True
PROD000045,Tennis Racket,CAT005,BR012,SUP008,WH002,WIL-00045,684.32,433.15,299,35,4.26,True
PROD000046,Basketball,CAT005,BR012,SUP008,WH002,WIL-00046,282.98,157.53,242,36,4.96,True
PROD000047,Football,CAT005,BR012,SUP008,WH002,WIL-00047,465.48,301.13,139,47,7.54,True
PROD000048,Badminton Racket,CAT005,BR013,SUP008,WH003,YON-00048,412.38,281.69,160,23,7.5,True
PROD000049,Shuttlecock Pack,CAT005,BR013,SUP008,WH003,YON-00049,477.85,299.14,119,34,6.09,True
PROD000050,Sports Bag,CAT005,BR013,SUP008,WH003,YON-00050,289.4,168.45,103,26,1.49,True
PROD000051,Face Wash,CAT006,BR014,SUP008,WH004,L'O-00051,33.05,13.64,257,120,0.08,True
PROD000052,Hair Serum,CAT006,BR014,SUP008,WH004,L'O-00052,142.62,84.08,299,99,0.46,True
PROD000053,Lipstick,CAT006,BR014,SUP008,WH004,L'O-00053,141.32,80.68,408,71,1.02,True
PROD000054,Body Lotion,CAT006,BR015,SUP008,WH003,NIV-00054,82.67,39.76,236,83,0.21,True
PROD000055,Face Cream,CAT006,BR015,SUP008,WH003,NIV-00055,28.53,13.18,181,81,0.44,True
PROD000056,Sunscreen,CAT006,BR015,SUP008,WH003,NIV-00056,140.9,67.45,136,112,0.93,True
PROD000057,Coffee,CAT007,BR016,SUP007,WH001,NES-00057,15.41,11.03,2215,393,0.76,True
PROD000058,Breakfast Cereal,CAT007,BR016,SUP007,WH001,NES-00058,3.83,2.21,2547,206,4.49,True
PROD000059,Chocolate,CAT007,BR016,SUP007,WH001,NES-00059,18.52,11.55,2323,174,0.29,True
PROD000060,Corn Flakes,CAT007,BR017,SUP007,WH005,KEL-00060,15.06,10.02,2344,371,0.39,True
PROD000061,Muesli,CAT007,BR017,SUP007,WH005,KEL-00061,27.67,17.71,2887,172,3.45,True
PROD000062,Granola,CAT007,BR017,SUP007,WH005,KEL-00062,8.35,5.9,2500,108,1.66,True
PROD000063,City Set,CAT008,BR018,SUP006,WH004,LEG-00063,16.51,11.16,228,45,4.06,True
PROD000064,Technic Car,CAT008,BR018,SUP006,WH004,LEG-00064,208.7,97.96,362,43,3.93,True
PROD000065,Star Wars Kit,CAT008,BR018,SUP006,WH004,LEG-00065,39.21,23.75,141,47,1.08,True
PROD000066,Barbie Doll,CAT008,BR019,SUP006,WH004,MAT-00066,54.15,36.11,173,26,0.51,True
PROD000067,Hot Wheels Pack,CAT008,BR019,SUP006,WH004,MAT-00067,300.57,137.94,183,40,0.52,True
PROD000068,UNO Cards,CAT008,BR019,SUP006,WH004,MAT-00068,309.71,191.58,322,48,2.76,True
